-------------------------------
angle,output,Kp,Ki,Kd
-7.99,7.51,0.94,0.0,0.0
-4.75,4.46,0.94,0.0,0.0
-2.23,2.1,0.94,0.0,0.0
2.46,-2.31,0.94,0.0,0.0
4.46,-4.19,0.94,0.0,0.0
4.37,-4.11,0.94,0.0,0.0
5.47,-5.14,0.94,0.0,0.0
6.43,-6.04,0.94,0.0,0.0
5.11,-4.81,0.94,0.0,0.0
3.3,-3.1,0.94,0.0,0.0
2.3,-2.17,0.94,0.0,0.0
1.77,-1.67,0.94,0.0,0.0
1.71,-1.61,0.94,0.0,0.0
1.79,-1.68,0.94,0.0,0.0
0.27,-0.25,0.94,0.0,0.0
1.77,-1.68,0.95,0.0,0.0
1.7,-1.6,0.94,0.0,0.0
1.61,-1.52,0.94,0.0,0.0
1.47,-1.39,0.94,0.0,0.0
1.16,-1.09,0.94,0.0,0.0
0.85,-0.81,0.95,0.0,0.0
0.78,-0.73,0.94,0.0,0.0
0.71,-0.67,0.94,0.0,0.0
0.67,-0.63,0.95,0.0,0.0
0.59,-0.56,0.94,0.0,0.0
0.54,-0.51,0.94,0.0,0.0
0.49,-0.46,0.94,0.0,0.0
0.43,-0.41,0.94,0.0,0.0
0.39,-0.37,0.94,0.0,0.0
0.35,-0.33,0.94,0.0,0.0
0.32,-0.3,0.94,0.0,0.0
0.28,-0.27,0.94,0.0,0.0
0.25,-0.24,0.94,0.0,0.0
0.23,-0.21,0.94,0.0,0.0
0.21,-0.19,0.94,0.0,0.0
0.17,-0.16,0.94,0.0,0.0
0.16,-0.15,0.94,0.0,0.0
0.15,-0.14,0.94,0.0,0.0
0.13,-0.12,0.94,0.0,0.0
0.13,-0.12,0.94,0.0,0.0
0.11,-0.1,0.94,0.0,0.0
0.1,-0.09,0.94,0.0,0.0
0.1,-0.1,0.94,0.0,0.0
0.1,-0.1,0.94,0.0,0.0
0.09,-0.09,0.94,0.0,0.0
0.08,-0.07,0.94,0.0,0.0
0.07,-0.07,0.95,0.0,0.0
0.05,-0.05,0.94,0.0,0.0
0.06,-0.05,0.94,0.0,0.0
0.06,-0.05,0.94,0.0,0.0
0.05,-0.04,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.03,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.0,-0.0,0.95,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.03,0.03,0.94,0.0,0.0
-0.04,0.03,0.94,0.0,0.0
-0.04,0.04,0.94,0.0,0.0
-0.03,0.03,0.94,0.0,0.0
-0.03,0.02,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
-0.0,0.0,0.95,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.0,0.0,0.95,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.01,0.01,0.95,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.95,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.03,-0.02,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.04,-0.03,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.04,-0.03,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.05,-0.05,0.94,0.0,0.0
0.05,-0.04,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.07,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.07,-0.07,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.05,-0.05,0.95,0.0,0.0
0.05,-0.04,0.94,0.0,0.0
0.05,-0.04,0.93,0.0,0.0
0.04,-0.03,0.94,0.0,0.0
0.03,-0.02,0.94,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
0.02,-0.02,0.94,0.0,0.0
-0.09,0.09,0.94,0.0,0.0
-0.08,0.08,0.94,0.0,0.0
-0.06,0.06,0.94,0.0,0.0
-0.06,0.06,0.94,0.0,0.0
-0.06,0.05,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.01,0.01,0.94,0.0,0.0
-0.02,0.02,0.94,0.0,0.0
-0.03,0.03,0.94,0.0,0.0
-0.03,0.03,0.95,0.0,0.0
-0.01,0.0,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
-0.0,0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.0,-0.0,0.94,0.0,0.0
0.01,-0.01,0.94,0.0,0.0
0.49,-0.46,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.17,-0.16,0.94,0.0,0.0
0.17,-0.16,0.94,0.0,0.0
0.07,-0.07,0.95,0.0,0.0
0.07,-0.06,0.94,0.0,0.0
0.04,-0.04,0.94,0.0,0.0
0.14,-0.14,0.94,0.0,0.0
0.12,-0.12,0.94,0.0,0.0
0.11,-0.1,0.94,0.0,0.0
0.11,-0.11,0.94,0.0,0.0
0.12,-0.11,0.94,0.0,0.0
0.11,-0.11,0.94,0.0,0.0
0.11,-0.1,0.94,0.0,0.0
0.1,-0.09,0.94,0.0,0.0
0.09,-0.09,0.94,0.0,0.0
0.1,-0.09,0.94,0.0,0.0
0.09,-0.08,0.94,0.0,0.0
0.08,-0.07,0.94,0.0,0.0
0.06,-0.06,0.94,0.0,0.0
0.05,-0.05,0.94,0.0,0.0
0.06,-0.05,0.94,0.0,0.0
0.05,-0.04,0.94,0.0,0.0
0.04,-0.03,0.95,0.0,0.0
0.03,-0.03,0.94,0.0,0.0
-0.07,0.07,0.94,0.0,0.0
-0.07,0.07,0.95,0.0,0.0
-0.07,0.06,0.94,0.0,0.0
-0.06,0.06,0.94,0.0,0.0
-0.06,0.05,0.94,0.0,0.0
-0.04,0.03,0.9,0.0,0.0
-0.03,0.01,0.26,0.0,0.0
-0.04,0.0,0.07,0.0,0.0
-0.03,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
-0.03,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
-0.03,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
-0.01,0.0,0.18,0.0,0.0
-0.01,0.01,0.76,0.0,0.0
-0.02,0.02,1.25,0.0,0.0
-0.03,0.06,1.98,0.0,0.0
-0.06,0.12,2.22,0.0,0.0
-0.05,0.13,2.64,0.0,0.0
-0.05,0.15,3.06,0.0,0.0
-0.06,0.21,3.73,0.0,0.0
-0.06,0.22,3.83,0.0,0.0
-0.05,0.18,3.83,0.0,0.0
-0.05,0.2,3.83,0.0,0.0
-0.04,0.14,3.83,0.0,0.0
-0.04,0.17,3.83,0.0,0.0
-0.14,0.53,3.83,0.0,0.0
-0.13,0.48,3.83,0.0,0.0
-0.12,0.46,3.83,0.0,0.0
-0.11,0.41,3.83,0.0,0.0
-0.1,0.37,3.83,0.0,0.0
-0.07,0.26,3.83,0.0,0.0
-0.07,0.28,3.83,0.0,0.0
-0.07,0.25,3.83,0.0,0.0
-0.06,0.23,3.83,0.0,0.0
-0.06,0.23,3.83,0.0,0.0
-0.05,0.19,3.87,0.0,0.0
-0.03,0.1,3.83,0.0,0.0
-0.03,0.11,3.83,0.0,0.0
-0.03,0.12,3.83,0.0,0.0
-0.01,0.04,3.82,0.0,0.0
-0.01,0.1,10.23,0.0,0.0
-0.0,0.03,10.23,0.0,0.0
-0.0,0.03,10.23,0.0,0.0
-0.0,0.03,10.23,0.0,0.0
0.0,-0.04,10.23,0.0,0.0
0.01,-0.09,10.23,0.0,0.0
0.01,-0.08,10.23,0.0,0.0
0.02,-0.19,10.23,0.0,0.0
0.03,-0.29,10.23,0.0,0.0
0.05,-0.5,10.23,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.02,-0.18,10.23,0.0,0.0
0.02,-0.22,10.23,0.0,0.0
0.03,-0.32,10.23,0.0,0.0
0.04,-0.4,10.23,0.0,0.0
0.05,-0.48,10.23,0.0,0.0
-0.06,0.59,10.23,0.0,0.0
-0.43,4.44,10.23,0.0,0.0
-0.4,4.06,10.23,0.0,0.0
-0.36,3.71,10.23,0.0,0.0
-0.33,3.4,10.23,0.0,0.0
-0.3,3.12,10.22,0.0,0.0
-0.2,2.03,10.23,0.0,0.0
-0.18,1.83,10.23,0.0,0.0
-0.18,1.82,10.23,0.0,0.0
-0.17,1.76,10.23,0.0,0.0
-0.17,1.7,10.22,0.0,0.0
-0.15,1.53,10.23,0.0,0.0
-0.13,1.38,10.23,0.0,0.0
-0.12,1.18,10.23,0.0,0.0
-0.08,0.83,10.23,0.0,0.0
-0.09,0.92,10.23,0.0,0.0
-0.09,0.89,10.23,0.0,0.0
-0.09,0.92,10.23,0.0,0.0
-0.09,0.89,10.23,0.0,0.0
-0.07,0.74,10.23,0.0,0.0
-0.05,0.49,10.22,0.0,0.0
-0.05,0.5,10.23,0.0,0.0
-0.04,0.39,10.23,0.0,0.0
-0.05,0.47,10.23,0.0,0.0
-0.04,0.42,10.23,0.0,0.0
-0.04,0.44,10.23,0.0,0.0
-0.04,0.45,10.22,0.0,0.0
-0.05,0.47,10.23,0.0,0.0
-0.04,0.36,10.23,0.0,0.0
-0.03,0.33,10.23,0.0,0.0
-0.03,0.35,10.23,0.0,0.0
-0.03,0.32,10.23,0.0,0.0
-0.02,0.23,10.23,0.0,0.0
-0.01,0.08,10.23,0.0,0.0
-0.02,0.2,10.23,0.0,0.0
-0.01,0.12,10.23,0.0,0.0
-0.01,0.1,10.23,0.0,0.0
-0.01,0.09,10.23,0.0,0.0
0.0,-0.04,10.23,0.0,0.0
0.02,-0.21,10.22,0.0,0.0
0.01,-0.13,10.23,0.0,0.0
0.05,-0.48,10.23,0.0,0.0
0.05,-0.55,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.07,-0.68,10.23,0.0,0.0
0.39,-4.03,10.23,0.0,0.0
0.33,-3.38,10.23,0.0,0.0
0.43,-4.42,10.23,0.0,0.0
0.83,-8.46,10.22,0.0,0.0
2.21,-22.64,10.23,0.0,0.0
3.8,-38.88,10.23,0.0,0.0
5.88,-60.2,10.23,0.0,0.0
5.88,-60.12,10.23,0.0,0.0
7.01,-71.72,10.23,0.0,0.0
7.83,-80.09,10.23,0.0,0.0
7.01,-71.68,10.23,0.0,0.0
7.32,-74.84,10.23,0.0,0.0
6.69,-68.45,10.23,0.0,0.0
6.43,-65.77,10.23,0.0,0.0
6.06,-61.97,10.23,0.0,0.0
5.63,-57.6,10.23,0.0,0.0
5.53,-56.53,10.23,0.0,0.0
5.22,-53.35,10.23,0.0,0.0
5.05,-51.58,10.22,0.0,0.0
4.93,-50.44,10.23,0.0,0.0
4.83,-49.42,10.23,0.0,0.0
4.76,-48.69,10.23,0.0,0.0
4.59,-46.96,10.23,0.0,0.0
4.67,-47.73,10.23,0.0,0.0
4.68,-47.89,10.23,0.0,0.0
4.71,-48.2,10.23,0.0,0.0
4.82,-49.33,10.23,0.0,0.0
5.25,-53.7,10.23,0.0,0.0
5.13,-52.48,10.23,0.0,0.0
5.36,-54.79,10.23,0.0,0.0
5.31,-54.37,10.23,0.0,0.0
5.17,-52.91,10.23,0.0,0.0
5.25,-53.69,10.23,0.0,0.0
5.12,-52.36,10.23,0.0,0.0
5.19,-53.08,10.22,0.0,0.0
5.21,-53.3,10.23,0.0,0.0
5.56,-56.86,10.22,0.0,0.0
5.5,-56.28,10.23,0.0,0.0
5.45,-55.76,10.23,0.0,0.0
5.38,-55.06,10.23,0.0,0.0
5.29,-54.07,10.23,0.0,0.0
5.24,-53.6,10.23,0.0,0.0
5.14,-52.58,10.23,0.0,0.0
5.19,-53.09,10.23,0.0,0.0
5.19,-53.08,10.23,0.0,0.0
5.25,-53.72,10.23,0.0,0.0
5.15,-52.69,10.23,0.0,0.0
5.18,-52.95,10.23,0.0,0.0
5.14,-52.59,10.23,0.0,0.0
5.36,-54.78,10.23,0.0,0.0
5.71,-58.37,10.23,0.0,0.0
6.06,-61.96,10.23,0.0,0.0
5.99,-61.29,10.23,0.0,0.0
6.03,-61.66,10.23,0.0,0.0
5.84,-59.77,10.23,0.0,0.0
5.8,-59.34,10.23,0.0,0.0
5.84,-59.78,10.23,0.0,0.0
5.72,-58.5,10.23,0.0,0.0
5.8,-59.32,10.23,0.0,0.0
5.78,-59.17,10.23,0.0,0.0
5.64,-57.71,10.23,0.0,0.0
5.76,-58.91,10.23,0.0,0.0
5.91,-60.47,10.23,0.0,0.0
5.89,-60.26,10.23,0.0,0.0
5.86,-59.95,10.23,0.0,0.0
5.87,-60.08,10.23,0.0,0.0
6.07,-62.07,10.23,0.0,0.0
6.59,-67.45,10.23,0.0,0.0
6.53,-66.78,10.23,0.0,0.0
6.53,-66.84,10.23,0.0,0.0
6.35,-64.98,10.23,0.0,0.0
6.23,-63.78,10.23,0.0,0.0
6.1,-62.41,10.23,0.0,0.0
5.82,-59.55,10.23,0.0,0.0
5.14,-52.62,10.23,0.0,0.0
2.2,-22.55,10.23,0.0,0.0
-2.5,25.59,10.23,0.0,0.0
-2.4,24.55,10.23,0.0,0.0
-2.32,23.7,10.23,0.0,0.0
-2.47,25.29,10.23,0.0,0.0
-2.19,22.4,10.23,0.0,0.0
-1.98,20.22,10.23,0.0,0.0
-1.79,18.24,10.22,0.0,0.0
-1.62,16.61,10.23,0.0,0.0
-1.49,15.19,10.23,0.0,0.0
-1.32,13.49,10.23,0.0,0.0
-1.18,12.02,10.23,0.0,0.0
-1.07,10.94,10.23,0.0,0.0
-0.96,9.79,10.23,0.0,0.0
-0.86,8.81,10.23,0.0,0.0
-0.78,7.99,10.23,0.0,0.0
-0.7,7.13,10.23,0.0,0.0
-0.62,6.36,10.23,0.0,0.0
-0.55,5.66,10.23,0.0,0.0
-0.5,5.15,10.23,0.0,0.0
-0.44,4.52,10.23,0.0,0.0
-0.4,4.07,10.23,0.0,0.0
-0.36,3.66,10.23,0.0,0.0
-0.32,3.29,10.23,0.0,0.0
-0.28,2.85,10.23,0.0,0.0
-0.24,2.44,10.22,0.0,0.0
-0.21,2.2,10.22,0.0,0.0
-0.2,2.04,10.23,0.0,0.0
-0.16,1.65,10.23,0.0,0.0
-0.15,1.55,10.22,0.0,0.0
-0.14,1.45,10.22,0.0,0.0
-0.12,1.18,10.22,0.0,0.0
-0.1,1.07,10.23,0.0,0.0
-0.11,1.14,10.23,0.0,0.0
-0.09,0.97,10.23,0.0,0.0
-0.09,0.87,10.23,0.0,0.0
-0.07,0.72,10.23,0.0,0.0
-0.07,0.71,10.23,0.0,0.0
-0.05,0.52,10.22,0.0,0.0
-0.03,0.35,10.23,0.0,0.0
-0.04,0.43,10.23,0.0,0.0
-0.04,0.45,10.23,0.0,0.0
-0.05,0.46,10.23,0.0,0.0
-0.02,0.24,10.23,0.0,0.0
-0.03,0.33,10.23,0.0,0.0
-0.02,0.18,10.23,0.0,0.0
-0.01,0.1,10.23,0.0,0.0
-0.01,0.15,10.23,0.0,0.0
-0.01,0.08,10.23,0.0,0.0
-0.0,0.01,10.23,0.0,0.0
-0.01,0.13,10.23,0.0,0.0
0.0,-0.0,10.23,0.0,0.0
-0.03,0.3,10.22,0.0,0.0
-0.37,3.8,10.23,0.0,0.0
-1.11,11.32,10.23,0.0,0.0
-1.66,17.02,10.23,0.0,0.0
-1.89,19.33,10.23,0.0,0.0
-2.99,30.56,10.23,0.0,0.0
-6.35,64.98,10.23,0.0,0.0
-9.46,96.82,10.23,0.0,0.0
-11.11,113.63,10.23,0.0,0.0
-9.49,97.1,10.23,0.0,0.0
-9.3,95.14,10.23,0.0,0.0
-9.19,93.99,10.23,0.0,0.0
-8.97,91.74,10.23,0.0,0.0
-8.82,90.26,10.23,0.0,0.0
-7.98,81.63,10.23,0.0,0.0
-7.31,74.69,10.22,0.0,0.0
-6.9,70.62,10.23,0.0,0.0
-6.2,63.47,10.23,0.0,0.0
-3.34,34.18,10.23,0.0,0.0
0.32,-3.28,10.23,0.0,0.0
0.88,-9.01,10.23,0.0,0.0
0.99,-10.14,10.23,0.0,0.0
1.07,-10.98,10.23,0.0,0.0
1.21,-12.34,10.23,0.0,0.0
1.22,-12.49,10.23,0.0,0.0
1.1,-11.24,10.23,0.0,0.0
0.98,-10.06,10.23,0.0,0.0
0.78,-8.03,10.23,0.0,0.0
0.72,-7.35,10.23,0.0,0.0
0.65,-6.67,10.23,0.0,0.0
0.58,-5.94,10.23,0.0,0.0
0.53,-5.41,10.23,0.0,0.0
0.48,-4.87,10.23,0.0,0.0
0.43,-4.38,10.23,0.0,0.0
0.39,-3.94,10.23,0.0,0.0
0.34,-3.49,10.23,0.0,0.0
0.31,-3.2,10.23,0.0,0.0
0.28,-2.82,10.23,0.0,0.0
0.25,-2.6,10.23,0.0,0.0
0.23,-2.39,10.22,0.0,0.0
0.22,-2.22,10.23,0.0,0.0
0.2,-2.0,10.23,0.0,0.0
0.19,-1.91,10.22,0.0,0.0
0.18,-1.84,10.23,0.0,0.0
0.16,-1.66,10.23,0.0,0.0
0.14,-1.43,10.23,0.0,0.0
0.13,-1.29,10.23,0.0,0.0
0.14,-1.4,10.23,0.0,0.0
0.14,-1.44,10.23,0.0,0.0
0.14,-1.42,10.23,0.0,0.0
0.14,-1.39,10.23,0.0,0.0
0.13,-1.31,10.23,0.0,0.0
0.12,-1.18,10.23,0.0,0.0
0.12,-1.18,10.23,0.0,0.0
0.09,-0.95,10.23,0.0,0.0
0.08,-0.79,10.23,0.0,0.0
0.06,-0.65,10.23,0.0,0.0
0.05,-0.53,10.23,0.0,0.0
0.05,-0.47,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.07,-0.74,10.23,0.0,0.0
0.05,-0.54,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.05,-0.5,10.23,0.0,0.0
0.06,-0.57,10.22,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.02,-0.23,10.23,0.0,0.0
0.02,-0.21,10.23,0.0,0.0
0.01,-0.07,10.22,0.0,0.0
0.02,-0.24,10.23,0.0,0.0
0.03,-0.34,10.23,0.0,0.0
0.04,-0.36,10.22,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.06,-0.59,10.23,0.0,0.0
0.05,-0.47,10.23,0.0,0.0
0.03,-0.3,10.23,0.0,0.0
0.02,-0.21,10.23,0.0,0.0
0.03,-0.31,10.23,0.0,0.0
0.03,-0.28,10.23,0.0,0.0
0.03,-0.31,10.23,0.0,0.0
0.03,-0.34,10.23,0.0,0.0
0.03,-0.31,10.23,0.0,0.0
0.03,-0.28,10.23,0.0,0.0
0.02,-0.25,10.23,0.0,0.0
0.03,-0.34,10.23,0.0,0.0
0.04,-0.37,10.23,0.0,0.0
0.06,-0.57,10.23,0.0,0.0
0.05,-0.51,10.23,0.0,0.0
0.04,-0.4,10.23,0.0,0.0
0.04,-0.42,10.23,0.0,0.0
0.03,-0.26,10.23,0.0,0.0
0.03,-0.29,10.23,0.0,0.0
0.03,-0.26,10.23,0.0,0.0
0.04,-0.42,10.23,0.0,0.0
0.04,-0.38,10.23,0.0,0.0
0.04,-0.4,10.23,0.0,0.0
0.04,-0.36,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.46,10.23,0.0,0.0
0.02,-0.23,10.23,0.0,0.0
0.02,-0.21,10.23,0.0,0.0
0.02,-0.19,10.23,0.0,0.0
0.03,-0.35,10.23,0.0,0.0
0.04,-0.37,10.23,0.0,0.0
0.03,-0.34,10.23,0.0,0.0
0.06,-0.6,10.23,0.0,0.0
0.06,-0.66,10.23,0.0,0.0
0.05,-0.54,10.23,0.0,0.0
0.05,-0.48,10.23,0.0,0.0
0.05,-0.55,10.22,0.0,0.0
0.05,-0.5,10.23,0.0,0.0
0.05,-0.51,10.23,0.0,0.0
0.05,-0.52,10.23,0.0,0.0
0.06,-0.65,10.23,0.0,0.0
0.06,-0.58,10.23,0.0,0.0
0.05,-0.46,10.23,0.0,0.0
0.04,-0.42,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.05,-0.53,10.23,0.0,0.0
-0.06,0.61,10.23,0.0,0.0
-0.06,0.61,10.23,0.0,0.0
-0.06,0.61,10.23,0.0,0.0
-0.06,0.61,10.23,0.0,0.0
-0.07,0.67,10.23,0.0,0.0
-0.05,0.54,10.23,0.0,0.0
-0.05,0.55,10.23,0.0,0.0
-0.05,0.49,10.23,0.0,0.0
-0.04,0.38,10.23,0.0,0.0
-0.03,0.28,10.23,0.0,0.0
-0.02,0.2,10.23,0.0,0.0
-0.02,0.18,10.23,0.0,0.0
-0.01,0.1,10.23,0.0,0.0
-0.01,0.09,10.23,0.0,0.0
-0.0,0.02,10.23,0.0,0.0
0.01,-0.1,10.23,0.0,0.0
0.01,-0.09,10.23,0.0,0.0
0.03,-0.26,10.23,0.0,0.0
0.02,-0.18,10.22,0.0,0.0
0.02,-0.22,10.23,0.0,0.0
0.03,-0.26,10.23,0.0,0.0
0.01,-0.11,10.23,0.0,0.0
0.01,-0.1,10.23,0.0,0.0
0.01,-0.15,10.23,0.0,0.0
0.02,-0.19,10.23,0.0,0.0
0.03,-0.35,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.03,-0.3,10.23,0.0,0.0
0.03,-0.27,10.23,0.0,0.0
0.03,-0.3,10.23,0.0,0.0
0.04,-0.39,10.23,0.0,0.0
0.04,-0.41,10.23,0.0,0.0
0.03,-0.31,10.23,0.0,0.0
0.04,-0.46,10.23,0.0,0.0
0.03,-0.29,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.46,10.23,0.0,0.0
0.05,-0.47,10.23,0.0,0.0
0.04,-0.42,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.05,-0.52,10.23,0.0,0.0
0.05,-0.47,10.23,0.0,0.0
0.04,-0.42,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.45,10.23,0.0,0.0
0.04,-0.41,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.05,-0.5,10.23,0.0,0.0
0.04,-0.45,10.23,0.0,0.0
0.06,-0.58,10.23,0.0,0.0
0.05,-0.46,10.23,0.0,0.0
0.05,-0.48,10.23,0.0,0.0
0.05,-0.55,10.23,0.0,0.0
0.05,-0.55,10.22,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.46,10.23,0.0,0.0
0.03,-0.29,10.22,0.0,0.0
0.03,-0.26,10.23,0.0,0.0
0.03,-0.29,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.46,10.23,0.0,0.0
0.04,-0.41,10.23,0.0,0.0
0.05,-0.49,10.23,0.0,0.0
0.06,-0.62,10.23,0.0,0.0
0.05,-0.56,10.23,0.0,0.0
0.04,-0.44,10.23,0.0,0.0
0.04,-0.46,10.22,0.0,0.0
0.04,-0.41,10.23,0.0,0.0
0.04,-0.43,10.23,0.0,0.0
0.03,-0.33,10.23,0.0,0.0
0.01,-0.12,10.23,0.0,0.0
0.01,-0.11,10.23,0.0,0.0
0.02,-0.15,10.23,0.0,0.0
0.0,-0.02,10.23,0.0,0.0
